University Rating,SOP,KS,MTH,ENG,Score,Pass,Keep_PGE,Offer, Postgraduate_Recommendation,Straight2Doctorate,LOR,Research,Paper,CET4,CET6,CGPA,TOEFL,IELTS,GRE,DV2CL,DV2SL
4,5,1,NULL,70,360,0,1,NULL,NULL,NULL,NULL,1,0,650,NULL,3.85,NULL,NULL,NULL,-7,-20
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,651,638,3.5,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,44,395,3,NULL,NULL,NULL,NULL,NULL
5,4,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,480,460,3.2,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,3,1,0,501,NULL,3,NULL,NULL,NULL,NULL,NULL
5,4,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,1,1,650,NULL,3.48,NULL,7,NULL,NULL,NULL
5,5,1,94,70,323,1,NULL,NULL,NULL,NULL,NULL,1,0,434,441,3.208,NULL,NULL,NULL,50,-6
5,5,1,83,73,306,0,1,NULL,NULL,NULL,NULL,0,0,573,545,3.426666667,87,6,NULL,33,6
3,5,1,59,68,274,0,0,NULL,NULL,NULL,NULL,0,0,472,451,NULL,NULL,NULL,NULL,1,-66
3,5,1,105,78,341,1,NULL,NULL,NULL,NULL,NULL,1,0,483,449,3.3716,NULL,NULL,NULL,68,-3
4,5,1,112,82,386,1,NULL,NULL,NULL,NULL,NULL,1,0,488,496,3.4,NULL,NULL,NULL,113,31
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,643,598,3.534883721,NULL,NULL,NULL,NULL,NULL
3,4,1,90,75,310,0,0,NULL,NULL,NULL,NULL,1,0,519,520,2.568,NULL,NULL,NULL,37,-9
3,5,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,5,1,0,550,NULL,3,NULL,NULL,NULL,NULL,NULL
3,3,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,3,1,0,498,437,3.36,NULL,NULL,NULL,NULL,NULL
3,4,1,100,70,340,1,NULL,NULL,NULL,NULL,NULL,1,1,490,460,3.2,NULL,NULL,NULL,67,30
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,600,612,3.6,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,425,NULL,2.8,NULL,NULL,NULL,NULL,NULL
3,4,1,56,70,318,0,0,NULL,NULL,NULL,NULL,0,0,513,446,3.03,NULL,NULL,NULL,45,45
3,5,1,83,63,329,1,NULL,NULL,NULL,NULL,NULL,1,0,430,NULL,2.96,NULL,NULL,NULL,56,-7
3,5,1,81,74,339,1,NULL,NULL,NULL,NULL,NULL,1,1,505,430,3.9,NULL,NULL,NULL,66,-41
3,4,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,4,0,0,460,NULL,3.37,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,509,484,3.4,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,430,NULL,3.6,NULL,NULL,NULL,NULL,NULL
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,449,NULL,3.336,NULL,NULL,NULL,NULL,NULL
3,5,1,80,63,319,0,0,NULL,NULL,NULL,NULL,0,0,431,0,3.2,NULL,NULL,NULL,46,-20
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,499,501,3.2,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,1,1,654,642,3.255813953,NULL,7.5,322,NULL,NULL
4,5,1,100,50,350,1,NULL,NULL,NULL,NULL,NULL,0,0,450,450,3.5,NULL,NULL,NULL,90,10
3,3,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,0,0,500,NULL,3.5,NULL,6,NULL,NULL,NULL
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,497,456,3.1,NULL,6.5,NULL,NULL,NULL
