University Rating,SOP,WPGE,PGE,MTH,ENG,Score,Pass,Keep_PGE,Research,Paper,CET4,CET6,CGPA,DV2CL,DV2SL
3,3,1,1,102,70,313,1,NULL,1,0,479,NULL,2.9,41,34
3,3,1,1,100,71,331,1,NULL,0,0,390,0,2.97,58,42
3,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,600,600,3.6,#VALUE!,#VALUE!
3,5,1,0,NULL,NULL,NULL,NULL,NULL,0,0,470,470,2.8,#VALUE!,#VALUE!
3,3,1,0,NULL,NULL,NULL,NULL,NULL,0,0,430,429,NULL,#VALUE!,#VALUE!
5,5,1,1,NULL,77,359,1,NULL,0,0,489,577,NULL,44,4
3,4,1,0,NULL,NULL,NULL,NULL,NULL,1,0,425,NULL,3.0,#VALUE!,#VALUE!
3,5,1,1,71,52,299,0,0,1,1,495,NULL,3.4,26,-27
3,3,1,1,99,63,330,0,0,0,0,445,0,3.5,57,-10
3,5,1,1,109,59,313,0,1,1,0,492,NULL,2.536,40,40
3,3,1,1,82,58,318,1,NULL,1,0,545,438,3.65,45,-19
3,4,1,1,83,52,299,1,NULL,1,1,411,0,2.88,0,-32
3,4,1,0,NULL,NULL,NULL,NULL,NULL,1,1,586,NULL,NULL,#VALUE!,#VALUE!
3,5,1,1,86,69,316,1,NULL,1,1,482,430,3.36,53,-24
3,5,1,1,89,41,303,1,NULL,0,0,434,390,3.06,40,-29
