Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
32	3	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	500	480	3	NULL	NULL	NULL	#VALUE!	#VALUE!		
33	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	4	1	0	600	NULL	3.52	NULL	NULL	NULL	#VALUE!	#VALUE!		
34	5	5	考研					考研	1	360	1	1	129	77	380	360	1	NULL	NULL	NULL	NULL	NULL	0	0	502	448	2.96	NULL	NULL	NULL	20	20		
35	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	450	460	3.5	NULL	NULL	NULL	#VALUE!	#VALUE!		
36	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	509	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
37	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	0	520	NULL	3.4	NULL	NULL	NULL	#VALUE!	#VALUE!		
38	4	4	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	3	1	0	550	450	2.337777778	93	NULL	NULL	#VALUE!	#VALUE!		
39	4	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	0	474	425	3.12	NULL	NULL	NULL	#VALUE!	#VALUE!		
40	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	0	523	468	3	NULL	NULL	NULL	#VALUE!	#VALUE!		
41	3	5	考研					考研	1	273	1	1	80	70	263	273	0	1	NULL	NULL	NULL	NULL	0	0	450	499	3.0	NULL	NULL	NULL	-10	-10		
42	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	555	445	3.1	NULL	NULL	NULL	#VALUE!	#VALUE!		
43	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	551	486	2.32	NULL	NULL	NULL	#VALUE!	#VALUE!		
44	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	510	480	3.44	NULL	NULL	NULL	#VALUE!	#VALUE!		
45	4	5	考研					考研	1	367	0	1	NULL	70	360	380	0	1	NULL	NULL	NULL	NULL	1	0	650	NULL	3.85	NULL	NULL	NULL	-7	-20		
46	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	1	651	638	3.5	NULL	NULL	NULL	#VALUE!	#VALUE!		
47	3	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	44	395	3.0	NULL	NULL	NULL	#VALUE!	#VALUE!		
48	5	4	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	480	460	80	NULL	NULL	NULL	#VALUE!	#VALUE!		
49	3	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	3	1	0	501	NULL	3.0	NULL	NULL	NULL	#VALUE!	#VALUE!		
50	5	4	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	4	1	1	650	NULL	3.48	NULL	7	NULL	#VALUE!	#VALUE!		
51	5	5	考研					考研	1	273	1	1	94	70	323	329	1	NULL	NULL	NULL	NULL	NULL	1	0	434	441	3.208	NULL	NULL	NULL	50	-6		
52	5	5	考研					考研	1	273	1	1	83	73	306	300	0	1	NULL	NULL	NULL	NULL	0	0	573	545	3.426666667	87	6.0	NULL	33	6		
53	3	5	考研					考研	1	273	1	1	59	68	274	340	0	0	NULL	NULL	NULL	NULL	0	0	472	451	NULL	NULL	NULL	NULL	1	-66		
54	3	5	考研					考研	1	273	1	1	105	78	341	344	1	NULL	NULL	NULL	NULL	NULL	1	0	483	449	3.3716	NULL	NULL	NULL	68	-3		
55	4	5	考研					考研	1	273	1	1	112	82	386	355	1	NULL	NULL	NULL	NULL	NULL	1	0	488	496	3.4	NULL	NULL	NULL	113	31		
57	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	1	643	598	3.534883721	NULL	NULL	NULL	#VALUE!	#VALUE!		
58	3	4	考研					考研	1	273	1	1	90	75	310	319	0	0	NULL	NULL	NULL	NULL	1	0	519	520	2.568	NULL	NULL	NULL	37	-9		
59	3	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	5	1	0	550	NULL	3.0	NULL	NULL	NULL	#VALUE!	#VALUE!		
60	3	3	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	3	1	0	498	437	3.36	NULL	NULL	NULL	#VALUE!	#VALUE!		
61	3	4	考研					考研	1	273	1	1	100	70	340	310	1	NULL	NULL	NULL	NULL	NULL	1	1	490	460	80	NULL	NULL	NULL	67	30		
62	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	1	600	612	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
63	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	425	NULL	2.8	NULL	NULL	NULL	#VALUE!	#VALUE!		
64	3	4	考研					考研	1	273	1	1	56	70	318	273	0	0	NULL	NULL	NULL	NULL	0	0	513	446	3.03	NULL	NULL	NULL	45	45		
65	3	5	考研					考研	1	273	1	1	83	63	329	336	1	NULL	NULL	NULL	NULL	NULL	1	0	430	NULL	2.96	NULL	NULL	NULL	56	-7		
