Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
141	3	4	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	450	451	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
142	2	3	其他					其他	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	368	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
143	3	4	考研					考研	1	273	1	1	105	72	356	350	0	0	NULL	NULL	NULL	NULL	1	0	488	NULL	2.73	NULL	NULL	NULL	83	6		
144	3	2	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	447	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
145	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	1	580	458	3.4	NULL	NULL	NULL	#VALUE!	#VALUE!		
146	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	1	500	440	3.5	NULL	NULL	NULL	#VALUE!	#VALUE!		
147	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	4	1	0	589	590	3.32	NULL	NULL	NULL	#VALUE!	#VALUE!		
148	3	3	考研					考研	1	272	1	1	102	70	313	279	1	NULL	NULL	NULL	NULL	NULL	1	0	479	NULL	2.9	NULL	NULL	NULL	41	34		
149	3	3	考研					考研	1	273	1	1	100	71	331	289	1	NULL	NULL	NULL	NULL	NULL	0	0	390	0	2.97	NULL	NULL	NULL	58	42		
150	3	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	600	600	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
151	5	3	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	604	473	4	NULL	NULL	NULL	#VALUE!	#VALUE!		
152	3	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	470	470	2.8	NULL	NULL	NULL	#VALUE!	#VALUE!		
153	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	428	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
154	5	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	550	552	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
155	3	3	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	430	429	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
156	5	3	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	654	647	3.28	NULL	NULL	NULL	#VALUE!	#VALUE!		
157	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	487	NULL	3.31	NULL	NULL	NULL	#VALUE!	#VALUE!		
158	5	5	考研					考研	1	315	0	1	NULL	77	359	355	1	NULL	NULL	NULL	NULL	NULL	0	0	489	577	NULL	NULL	NULL	NULL	44	4		
159	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	0	0	0	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
160	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	425	NULL	3.0	NULL	NULL	NULL	#VALUE!	#VALUE!		
161	2	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	0	0	389	0	2.5	NULL	NULL	NULL	#VALUE!	#VALUE!		
162	3	5	考研					考研	1	273	1	1	71	52	299	326	0	0	NULL	NULL	NULL	NULL	1	1	495	NULL	3.4	NULL	NULL	NULL	26	-27		
163	3	3	考研					考研	1	273	1	1	99	63	330	340	0	0	NULL	NULL	NULL	NULL	0	0	445	0	3.5	NULL	NULL	NULL	57	-10		
164	3	5	考研					考研	1	273	1	1	109	59	313	273	0	1	NULL	NULL	NULL	NULL	1	0	492	NULL	2.536	NULL	NULL	NULL	40	40		
165	3	3	考研					考研	1	273	1	1	82	58	318	337	1	NULL	NULL	NULL	NULL	NULL	1	0	545	438	3.65	NULL	NULL	NULL	45	-19		
166	3	4	考研					考研	1	299	1	1	83	52	299	331	1	NULL	NULL	NULL	NULL	NULL	1	1	411	0	2.88	NULL	NULL	NULL	0	-32		
167	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	586	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
168	3	5	考研					考研	1	263	1	1	86	69	316	340	1	NULL	NULL	NULL	NULL	NULL	1	1	482	430	3.36	NULL	NULL	NULL	53	-24		
169	3	5	考研					考研	1	263	1	1	89	41	303	332	1	NULL	NULL	NULL	NULL	NULL	0	0	434	390	3.06	NULL	NULL	NULL	40	-29		
																																		
																															 			
